Target_ID,Timestamp_ms,X_Pos,Y_Pos,Device
1,684,1960.0,63.0,mouse
1,701,1958.0,64.0,mouse
1,717,1957.0,66.0,mouse
1,734,1955.0,68.0,mouse
1,751,1954.0,69.0,mouse
1,768,1953.0,71.0,mouse
1,784,1952.0,72.0,mouse
1,801,1951.0,73.0,mouse
1,817,1950.0,75.0,mouse
1,834,1948.0,77.0,mouse
1,851,1946.0,79.0,mouse
1,867,1945.0,82.0,mouse
1,884,1941.0,89.0,mouse
1,901,1939.0,94.0,mouse
1,917,1935.0,100.0,mouse
1,934,1931.0,107.0,mouse
1,951,1919.0,121.0,mouse
1,967,1900.0,138.0,mouse
1,984,1870.0,163.0,mouse
1,1001,1843.0,189.0,mouse
1,1017,1815.0,216.0,mouse
1,1034,1772.0,252.0,mouse
1,1051,1718.0,293.0,mouse
1,1067,1668.0,328.0,mouse
1,1084,1574.0,385.0,mouse
1,1101,1524.0,413.0,mouse
1,1117,1483.0,431.0,mouse
1,1134,1447.0,446.0,mouse
1,1151,1420.0,455.0,mouse
1,1167,1393.0,458.0,mouse
1,1184,1381.0,460.0,mouse
1,1201,1368.0,461.0,mouse
1,1217,1349.0,463.0,mouse
1,1234,1332.0,463.0,mouse
1,1251,1322.0,463.0,mouse
1,1267,1309.0,463.0,mouse
1,1284,1305.0,462.0,mouse
1,1301,1303.0,460.0,mouse
1,1317,1299.0,452.0,mouse
1,1334,1289.0,428.0,mouse
1,1351,1272.0,405.0,mouse
1,1367,1234.0,359.0,mouse
1,1384,1204.0,336.0,mouse
1,1401,1183.0,326.0,mouse
1,1418,1167.0,320.0,mouse
1,1434,1148.0,316.0,mouse
1,1451,1133.0,315.0,mouse
1,1467,1117.0,315.0,mouse
1,1484,1108.0,315.0,mouse
1,1500,1098.0,315.0,mouse
1,1517,1084.0,315.0,mouse
1,1534,1069.0,315.0,mouse
1,1550,1052.0,313.0,mouse
1,1567,1027.0,310.0,mouse
1,1584,1018.0,307.0,mouse
1,1600,1009.0,303.0,mouse
1,1617,1000.0,299.0,mouse
1,1634,991.0,295.0,mouse
1,1650,984.0,291.0,mouse
1,1667,978.0,289.0,mouse
1,1684,975.0,288.0,mouse
1,1700,973.0,287.0,mouse
1,1717,972.0,286.0,mouse
1,1734,971.0,285.0,mouse
1,1767,970.0,284.0,mouse
1,1867,970.0,285.0,mouse
1,1884,966.0,300.0,mouse
1,1900,954.0,341.0,mouse
1,1917,927.0,396.0,mouse
1,1934,882.0,467.0,mouse
1,1950,734.0,655.0,mouse
1,1967,603.0,810.0,mouse
1,1984,468.0,953.0,mouse
1,2001,301.0,1073.0,mouse
1,2017,143.0,1159.0,mouse
1,2034,-2.0,1215.0,mouse
1,2051,-651.0,1013.0,mouse
1,2067,-741.0,1024.0,mouse
1,2084,-809.0,1026.0,mouse
1,2100,-881.0,1026.0,mouse
1,2117,-933.0,1021.0,mouse
1,2134,-978.0,1009.0,mouse
1,2152,-1020.0,994.0,mouse
1,2167,-1045.0,984.0,mouse
1,2184,-1059.0,976.0,mouse
1,2200,-1068.0,973.0,mouse
1,2217,-1077.0,972.0,mouse
1,2234,-1085.0,972.0,mouse
